row_names,TIMESTAMP,RECORD,BattV_Min,PTemp_C_Avg,AirTC_Avg,AirTC_Max,AirTC_TMx,AirTC_Min,AirTC_TMn,RH_Max,RH_TMx,RH_Min,RH_TMn,SlrW_Avg,SlrW_Max,SlrW_TMx,SlrMJ_Tot,Rain_mm_Tot,WS_ms_Avg,WS_ms_Max,WS_ms_TMx,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,ETos,Rso,BP_mbar_Avg,BP_mbar_Max,BP_mbar_TMx,BP_mbar_Min,BP_mbar_TMn,VWC_Avg,VWC_Max,VWC_TMx,VWC_Min,VWC_TMn,EC_Avg,EC_Max,EC_TMx,EC_Min,EC_TMn,T_Avg,T_Max,T_TMx,T_Min,T_TMn,SunHrs_Tot,HalfBr_Max,HalfBr_TMx,HalfBr_Min,HalfBr_TMn
11,"2019-06-09 00:00:00",10,12.39,32.24,28.76,31.62,"2019-06-08 14:54:35",27.2,"2019-06-08 04:26:30",85.3,"2019-06-08 23:29:55",65.41,"2019-06-08 15:14:55",268.1,1287,"2019-06-08 11:23:50",23.16114,0,3.478,8.43,"2019-06-08 19:12:15",3.478,97.9,21.5,4.335,3.17,1016.812,1018.32,"2019-06-08 22:23:00",1015.252,"2019-06-08 02:22:20",0.173,0.189,"2019-06-08 00:04:35",0.155,"2019-06-08 23:13:35",0.076,0.085,"2019-06-08 00:08:10",0.066,"2019-06-08 23:37:40",29.68,37.9,"2019-06-08 13:56:50",25.94,"2019-06-08 05:05:55",10.49,13.89,"2019-06-08 00:28:00",13.04,"2019-06-08 23:51:40"
12,"2019-06-10 00:00:00",11,12.39,31.73,28.52,30.9,"2019-06-09 12:43:35",27.19,"2019-06-09 19:39:05",85.7,"2019-06-09 20:16:00",65.53,"2019-06-09 09:40:55",NULL,NULL,"2019-06-09 18:38:15",NULL,0,4.278,9.19,"2019-06-09 17:25:50",4.278,95,19.07,NULL,3.17,1017.486,1019.008,"2019-06-09 22:36:30",1016.096,"2019-06-09 04:20:25",0.144,0.155,"2019-06-09 00:00:05",0.134,"2019-06-09 23:30:35",0.062,0.067,"2019-06-09 00:03:30",0.056,"2019-06-09 23:37:15",29.55,36.94,"2019-06-09 13:27:35",26.11,"2019-06-09 05:18:35",10.6,13.12,"2019-06-09 04:20:40",12.22,"2019-06-09 23:12:35"
13,"2019-06-11 00:00:00",12,12.38,31.28,28.53,31.26,"2019-06-10 12:36:45",26.95,"2019-06-10 05:23:40",84.7,"2019-06-10 01:07:20",61.68,"2019-06-10 15:07:00",291,1102,"2019-06-10 13:31:15",25.1453,0,3.856,9.31,"2019-06-10 10:38:05",3.856,94.7,20.31,4.623,3.175,1018.008,1019.27,"2019-06-10 09:34:10",1016.766,"2019-06-10 17:10:20",0.128,0.134,"2019-06-10 00:00:15",0.121,"2019-06-10 22:36:25",0.054,0.057,"2019-06-10 12:57:15",0.049,"2019-06-10 23:23:25",30.14,39.48,"2019-06-10 12:55:00",25.79,"2019-06-10 05:53:20",10.64,12.26,"2019-06-10 01:49:40",11.3,"2019-06-10 23:22:45"
14,"2019-06-12 00:00:00",13,12.32,30.61,28.08,31.02,"2019-06-11 12:59:20",26.36,"2019-06-11 13:54:35",85.9,"2019-06-11 13:57:40",63.06,"2019-06-11 12:51:20",258.4,1336,"2019-06-11 12:08:10",22.32382,0.254,3.184,7.899,"2019-06-11 22:06:40",3.184,71.87,27.6,4.183,3.182,1017.295,1018.782,"2019-06-11 10:13:05",1015.909,"2019-06-11 17:01:20",0.116,0.121,"2019-06-11 00:00:35",0.111,"2019-06-11 21:58:15",0.046,0.05,"2019-06-11 00:01:00",0.043,"2019-06-11 23:42:15",29.7,40.13,"2019-06-11 12:52:15",25.62,"2019-06-11 03:51:15",10.64,11.34,"2019-06-11 00:29:40",10.57,"2019-06-11 23:56:35"
15,"2019-06-13 00:00:00",14,12.32,31.38,28.22,31.23,"2019-06-12 14:02:45",26.29,"2019-06-12 15:12:55",86.9,"2019-06-12 15:18:40",61.47,"2019-06-12 11:40:55",288.5,1316,"2019-06-12 10:48:15",24.92715,0.508,3.204,9.51,"2019-06-12 15:00:55",3.204,92.5,28.52,4.675,3.176,1017.029,1018.304,"2019-06-12 22:19:20",1015.504,"2019-06-12 01:17:05",0.109,0.112,"2019-06-12 00:01:00",0.105,"2019-06-12 21:49:15",0.043,0.046,"2019-06-12 13:29:15",0.04,"2019-06-12 23:38:25",30.4,42.1,"2019-06-12 13:31:40",25.3,"2019-06-12 05:39:45",10.66,10.68,"2019-06-12 00:19:05",9.83,"2019-06-12 23:59:35"
16,"2019-06-14 00:00:00",15,12.46,31.64,28.44,31.04,"2019-06-13 12:34:40",26.99,"2019-06-13 03:25:40",83.5,"2019-06-13 03:25:35",60.75,"2019-06-13 13:27:20",293.7,1241,"2019-06-13 10:59:25",25.3788,0,3.504,10.29,"2019-06-13 09:06:50",3.504,89.6,31.85,4.723,3.173,1017.6,1019.237,"2019-06-13 11:31:55",1016.056,"2019-06-13 16:21:20",0.102,0.105,"2019-06-13 00:43:25",0.098,"2019-06-13 23:11:20",0.04,0.043,"2019-06-13 13:58:35",0.037,"2019-06-13 23:44:35",30.76,40.51,"2019-06-13 12:38:10",26.25,"2019-06-13 05:16:35",10.68,23.12,"2019-06-13 08:43:50",9.74,"2019-06-13 07:26:05"
17,"2019-06-15 00:00:00",16,12.39,29.99,27.72,29.62,"2019-06-14 13:20:40",25.46,"2019-06-14 09:23:15",92.2,"2019-06-14 09:25:05",71.61,"2019-06-14 08:14:55",204.8,1421,"2019-06-14 11:01:20",17.69098,5.08,3.47,11.29,"2019-06-14 07:43:50",3.47,84,29.64,3.249,3.162,1017.375,1018.929,"2019-06-14 09:18:15",1015.702,"2019-06-14 18:03:40",0.233,0.369,"2019-06-14 23:26:10",0.098,"2019-06-14 05:18:10",0.105,0.202,"2019-06-14 23:30:55",0.036,"2019-06-14 06:34:40",28.24,33.05,"2019-06-14 13:21:45",26.59,"2019-06-14 23:23:25",10.62,14.18,"2019-06-14 09:30:25",13.57,"2019-06-14 08:55:55"
18,"2019-06-16 00:00:00",17,12.32,31.29,28.18,30.66,"2019-06-15 12:56:25",25.59,"2019-06-15 01:05:45",93.3,"2019-06-15 01:16:35",65.87,"2019-06-15 12:38:40",249.4,1251,"2019-06-15 11:40:55",21.54747,2.286,3.339,9.33,"2019-06-15 17:19:40",3.339,85.4,32.88,4.009,3.156,1016.997,1018.494,"2019-06-15 10:43:00",1015.281,"2019-06-15 15:59:35",0.39,0.415,"2019-06-15 23:58:55",0.338,"2019-06-15 01:30:25",0.234,0.272,"2019-06-15 12:54:35",0.17,"2019-06-15 01:30:50",28.67,34.31,"2019-06-15 12:39:15",25.26,"2019-06-15 01:33:30",10.58,14.12,"2019-06-15 01:39:55",13.27,"2019-06-15 23:48:50"
19,"2019-06-17 00:00:00",18,12.41,31.51,28.28,30.73,"2019-06-16 13:23:40",25.95,"2019-06-16 04:46:10",92.6,"2019-06-16 03:43:20",68.74,"2019-06-16 14:20:15",244.8,1391,"2019-06-16 11:43:45",21.15099,0.762,3.687,9.13,"2019-06-16 04:14:00",3.687,88.9,27.59,3.886,3.148,1017.03,1018.841,"2019-06-16 22:36:50",1015.349,"2019-06-16 16:33:25",0.42,0.427,"2019-06-16 23:53:20",0.415,"2019-06-16 00:00:05",0.238,0.247,"2019-06-16 08:09:40",0.228,"2019-06-16 18:23:40",28.77,34.21,"2019-06-16 13:25:00",26.02,"2019-06-16 05:00:45",10.66,13.47,"2019-06-16 04:04:45",12.63,"2019-06-16 23:31:50"
20,"2019-06-18 00:00:00",19,12.39,32.27,28.71,31.54,"2019-06-17 13:21:40",27.27,"2019-06-17 23:47:05",87.5,"2019-06-17 00:13:45",68.14,"2019-06-17 11:24:25",268,1289,"2019-06-17 12:56:50",23.15194,0,3.994,8.9,"2019-06-17 17:10:10",3.994,90.2,23.85,4.241,3.149,1018.271,1019.607,"2019-06-17 21:57:45",1016.972,"2019-06-17 04:50:45",0.414,0.43,"2019-06-17 04:32:20",0.393,"2019-06-17 16:32:00",0.227,0.242,"2019-06-17 13:36:10",0.212,"2019-06-17 14:22:10",29.24,34.95,"2019-06-17 12:04:15",26.61,"2019-06-17 05:49:45",10.62,12.75,"2019-06-17 00:15:05",11.77,"2019-06-17 23:44:40"
