row_names,TIMESTAMP,RECORD,BattV_Min,PTemp_C_Avg,AirTC_Avg,AirTC_Max,AirTC_TMx,AirTC_Min,AirTC_TMn,RH_Max,RH_TMx,RH_Min,RH_TMn,SlrW_Avg,SlrW_Max,SlrW_TMx,SlrMJ_Tot,Rain_mm_Tot,WS_ms_Avg,WS_ms_Max,WS_ms_TMx,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,ETos,Rso,BP_mbar_Avg,BP_mbar_Max,BP_mbar_TMx,BP_mbar_Min,BP_mbar_TMn,VWC_Avg,VWC_Max,VWC_TMx,VWC_Min,VWC_TMn,EC_Avg,EC_Max,EC_TMx,EC_Min,EC_TMn,T_Avg,T_Max,T_TMx,T_Min,T_TMn,SunHrs_Tot,HalfBr_Max,HalfBr_TMx,HalfBr_Min,HalfBr_TMn
34,"2019-07-03 00:00:00",33,11.3,31.69,28.9,32.29,"2019-07-02 14:16:20",27.1,"2019-07-02 04:46:25",84.4,"2019-07-02 00:34:10",60.75,"2019-07-02 14:15:55",291.4,1110,"2019-07-02 11:15:45",25.17393,0,2.752,7.272,"2019-07-02 11:17:05",2.752,85.1,26.1,4.861,3.167,1015.928,1016.935,"2019-07-02 22:35:00",1014.742,"2019-07-02 16:05:30",0.062,0.064,"2019-07-02 11:55:25",0.059,"2019-07-02 23:31:25",0.018,0.02,"2019-07-02 13:13:20",0.017,"2019-07-02 23:58:25",32.23,45.76,"2019-07-02 13:41:50",26.6,"2019-07-02 04:53:00",10.63,19.01,"2019-07-02 00:04:05",18.11,"2019-07-02 23:57:05"
35,"2019-07-04 00:00:00",34,11.64,30.65,28.32,31.4,"2019-07-03 12:36:30",25.16,"2019-07-03 07:44:05",92.7,"2019-07-03 07:45:40",62.85,"2019-07-03 12:32:00",NULL,NULL,"2019-07-03 05:43:20",NULL,0.254,3.175,9.98,"2019-07-03 07:35:30",3.175,91.1,24.72,NULL,3.175,1015.43,1017.157,"2019-07-03 23:04:30",1014.287,"2019-07-03 04:37:45",0.059,0.062,"2019-07-03 12:30:00",0.057,"2019-07-03 22:46:50",0.017,0.018,"2019-07-03 13:29:20",0.015,"2019-07-03 22:04:55",29.96,43.42,"2019-07-03 12:53:45",25.86,"2019-07-03 05:57:00",10.71,18.19,"2019-07-03 07:47:45",17.69,"2019-07-03 23:59:40"
36,"2019-07-05 00:00:00",35,11.96,31.71,28.86,32.19,"2019-07-04 12:27:20",26.95,"2019-07-04 23:36:45",87.2,"2019-07-04 21:54:15",62.03,"2019-07-04 13:26:40",287.7,1329,"2019-07-04 12:46:10",24.85895,0,3.97,12.23,"2019-07-04 22:08:50",3.97,90.6,29.49,4.577,3.17,1016.655,1018.44,"2019-07-04 22:27:10",1015.073,"2019-07-04 04:45:40",0.058,0.06,"2019-07-04 11:48:25",0.056,"2019-07-04 19:26:45",0.016,0.017,"2019-07-04 13:43:40",0.015,"2019-07-04 10:16:25",31.34,45.16,"2019-07-04 13:47:35",26.27,"2019-07-04 05:50:25",10.63,17.73,"2019-07-04 00:00:55",16.82,"2019-07-04 23:56:40"
37,"2019-07-06 00:00:00",36,12.27,31.32,28.54,31.37,"2019-07-05 12:30:20",25.52,"2019-07-05 05:18:30",91.9,"2019-07-05 05:03:20",63.91,"2019-07-05 15:02:30",234.4,1337,"2019-07-05 11:13:45",20.25484,0.254,3.591,12.78,"2019-07-05 13:29:15",3.591,93.8,31.48,3.765,3.173,1018.017,1019.661,"2019-07-05 22:51:50",1016.537,"2019-07-05 02:59:25",0.056,0.058,"2019-07-05 12:09:45",0.055,"2019-07-05 19:27:20",0.015,0.016,"2019-07-05 17:31:45",0.014,"2019-07-05 10:14:00",30.31,39.99,"2019-07-05 13:57:30",25.45,"2019-07-05 05:31:45",10.51,17.02,"2019-07-05 05:12:15",16.24,"2019-07-06 00:00:00"
38,"2019-07-07 00:00:00",37,12.43,32.16,28.79,32.52,"2019-07-06 13:31:35",25.47,"2019-07-06 20:44:30",86.5,"2019-07-06 20:41:00",57.21,"2019-07-06 13:52:30",285.2,1229,"2019-07-06 10:34:35",24.64121,0,3.05,9.13,"2019-07-06 15:18:35",3.05,76.7,30.35,4.698,3.183,1018.075,1019.363,"2019-07-06 11:09:00",1016.948,"2019-07-06 04:21:40",0.056,0.058,"2019-07-06 12:19:30",0.053,"2019-07-06 19:06:35",0.015,0.016,"2019-07-06 13:49:30",0.014,"2019-07-06 08:32:35",31.86,48.19,"2019-07-06 13:43:05",25.56,"2019-07-06 21:01:00",10.61,16.27,"2019-07-06 00:13:35",15.57,"2019-07-06 17:23:45"
39,"2019-07-08 00:00:00",38,12.44,31.72,28.43,31.23,"2019-07-07 14:22:35",25.86,"2019-07-07 06:12:30",86.6,"2019-07-07 23:54:50",64.49,"2019-07-07 13:06:10",247.8,1238,"2019-07-07 12:04:50",21.40645,0.254,2.853,9.35,"2019-07-07 04:52:15",2.853,92.2,31.51,4.086,3.184,1016.889,1018.168,"2019-07-07 00:01:10",1015.126,"2019-07-07 16:02:10",0.055,0.058,"2019-07-07 12:05:55",0.054,"2019-07-07 19:43:25",0.014,0.015,"2019-07-07 14:42:00",0.013,"2019-07-07 08:00:20",30.17,40.43,"2019-07-07 12:05:20",25.4,"2019-07-07 05:44:10",10.48,15.77,"2019-07-07 01:03:30",15.02,"2019-07-07 23:50:45"
40,"2019-07-09 00:00:00",39,12.43,31.71,28.47,32.22,"2019-07-08 12:11:05",25.7,"2019-07-08 04:56:30",92.7,"2019-07-08 05:17:15",66.16,"2019-07-08 12:37:00",NULL,NULL,"2019-07-08 18:28:40",NULL,0,2.686,8.53,"2019-07-08 14:52:35",2.686,99,30.64,NULL,3.169,1016.896,1019.025,"2019-07-08 22:25:10",1015.707,"2019-07-08 02:49:45",0.054,0.057,"2019-07-08 11:56:25",0.053,"2019-07-08 21:22:30",0.014,0.015,"2019-07-08 13:09:45",0.013,"2019-07-08 01:08:15",30.31,44.04,"2019-07-08 13:02:40",25.85,"2019-07-08 06:03:15",10.67,15.23,"2019-07-08 08:03:20",14.7,"2019-07-08 23:34:10"
41,"2019-07-10 00:00:00",40,12.43,32.56,29.09,31.76,"2019-07-09 11:49:10",27.34,"2019-07-09 06:03:45",89.3,"2019-07-09 06:07:55",70,"2019-07-09 12:11:00",252.4,1087,"2019-07-09 12:11:35",21.81156,0,3.925,9.88,"2019-07-09 09:02:00",3.925,95.6,20.98,4.036,3.174,1018.844,1020.361,"2019-07-09 22:11:10",1017.582,"2019-07-09 01:39:55",0.054,0.056,"2019-07-09 11:37:25",0.052,"2019-07-09 22:14:30",0.014,0.015,"2019-07-09 13:30:00",0.013,"2019-07-09 03:32:10",31.07,41.13,"2019-07-09 12:25:00",26.65,"2019-07-09 06:17:35",10.54,14.76,"2019-07-09 07:31:45",13.95,"2019-07-09 23:59:50"
42,"2019-07-11 00:00:00",41,12.41,32.67,29.1,32.12,"2019-07-10 12:51:35",25.44,"2019-07-10 21:27:30",84.3,"2019-07-10 22:06:55",64.49,"2019-07-10 11:56:35",292.4,1137,"2019-07-10 11:45:00",25.25946,0,3.472,10.53,"2019-07-10 21:22:15",3.472,90.2,28.68,4.758,3.185,1018.176,1019.576,"2019-07-10 00:01:10",1016.439,"2019-07-10 16:23:55",0.053,0.056,"2019-07-10 12:34:20",0.052,"2019-07-10 20:24:55",0.012,0.014,"2019-07-10 00:43:50",0.01,"2019-07-10 09:26:30",32.33,46.52,"2019-07-10 13:25:35",26.94,"2019-07-10 22:01:35",10.59,13.99,"2019-07-10 04:37:15",13.1,"2019-07-10 23:51:15"
43,"2019-07-12 00:00:00",42,12.37,32.49,28.7,31.74,"2019-07-11 13:18:45",26.12,"2019-07-11 03:40:00",83.9,"2019-07-11 23:30:05",62.78,"2019-07-11 11:37:40",292.5,1274,"2019-07-11 11:09:50",25.26775,0,3.415,9.19,"2019-07-11 02:15:30",3.415,74.84,33.85,4.743,3.202,1015.659,1017.252,"2019-07-11 00:00:50",1014.337,"2019-07-11 17:26:30",0.052,0.055,"2019-07-11 12:44:15",0.051,"2019-07-11 23:14:50",0.011,0.012,"2019-07-11 15:22:00",0.01,"2019-07-11 07:30:00",31.92,46.31,"2019-07-11 13:20:35",26.4,"2019-07-11 05:15:25",10.61,23.59,"2019-07-11 11:47:00",0.782,"2019-07-11 09:22:40"
44,"2019-07-13 00:00:00",43,12.29,33.24,28.99,31.8,"2019-07-12 12:58:30",26.96,"2019-07-12 04:30:40",83.5,"2019-07-12 04:25:20",61.22,"2019-07-12 15:14:25",301,1289,"2019-07-12 13:26:30",26.00356,0,3.168,8.86,"2019-07-12 00:40:55",3.168,92.9,28.23,4.952,3.205,1015.101,1016.322,"2019-07-12 10:22:15",1013.547,"2019-07-12 03:42:10",0.051,0.055,"2019-07-12 12:49:10",0.05,"2019-07-12 20:41:20",0.01,0.012,"2019-07-12 14:41:35",0.009,"2019-07-12 09:32:15",32.75,47.61,"2019-07-12 14:00:55",26.7,"2019-07-12 05:37:55",10.6,22.37,"2019-07-12 00:40:55",13.59,"2019-07-12 23:44:35"
45,"2019-07-14 00:00:00",44,12.41,30.77,27.86,30.63,"2019-07-13 10:32:30",25.29,"2019-07-13 14:27:50",94.1,"2019-07-13 14:30:00",64.6,"2019-07-13 10:32:30",171.3,1312,"2019-07-13 13:44:15",14.80063,0.254,3.762,11.68,"2019-07-13 13:55:05",3.762,90.7,23.94,2.7,3.203,1016.517,1018.076,"2019-07-13 22:02:50",1014.043,"2019-07-13 03:25:40",0.051,0.056,"2019-07-13 14:26:25",0.05,"2019-07-13 00:00:50",0.01,0.012,"2019-07-13 14:28:30",0.009,"2019-07-13 06:17:55",29.13,37.98,"2019-07-13 12:29:45",25.8,"2019-07-13 22:14:35",10.76,13.9,"2019-07-13 16:58:10",13.35,"2019-07-13 13:54:20"
46,"2019-07-15 00:00:00",45,12.39,32.98,28.91,31.28,"2019-07-14 14:29:10",27.37,"2019-07-14 01:09:10",88.1,"2019-07-14 01:48:25",64.07,"2019-07-14 12:49:15",286.5,1202,"2019-07-14 11:54:00",24.75357,0,3.876,11.17,"2019-07-14 21:08:20",3.876,87.8,28.37,4.578,3.206,1016.443,1017.974,"2019-07-14 09:49:45",1014.916,"2019-07-14 16:19:45",0.052,0.055,"2019-07-14 12:49:25",0.051,"2019-07-14 19:58:45",0.01,0.012,"2019-07-14 14:34:25",0.009,"2019-07-14 09:47:00",30.81,42.7,"2019-07-14 13:31:50",26.05,"2019-07-14 05:43:05",10.55,13.74,"2019-07-14 00:54:45",12.8,"2019-07-14 23:58:50"
47,"2019-07-16 00:00:00",46,12.37,32.77,29.2,31.81,"2019-07-15 13:29:00",27.62,"2019-07-15 05:47:50",86.1,"2019-07-15 05:18:45",65.71,"2019-07-15 13:29:30",299.1,1057,"2019-07-15 10:32:40",25.845,0,3.81,12.35,"2019-07-15 11:47:00",3.81,83.5,31.9,4.814,3.205,1016.028,1018.125,"2019-07-15 22:19:50",1014.459,"2019-07-15 05:06:50",0.051,0.054,"2019-07-15 12:26:50",0.05,"2019-07-15 20:14:55",0.01,0.012,"2019-07-15 15:06:30",0.009,"2019-07-15 05:56:30",32.43,46.38,"2019-07-15 13:43:35",27.31,"2019-07-15 02:24:05",10.67,12.98,"2019-07-15 00:13:00",11.89,"2019-07-15 23:31:15"
48,"2019-07-17 00:00:00",47,12.38,32.44,28.91,32.46,"2019-07-16 13:36:15",26.66,"2019-07-16 16:51:00",84.7,"2019-07-16 18:30:50",60.42,"2019-07-16 13:37:25",275.9,1167,"2019-07-16 10:54:45",23.83963,0,2.939,8.98,"2019-07-16 16:18:10",2.939,79.2,33.69,4.573,3.219,1017.049,1018.062,"2019-07-16 11:54:35",1015.892,"2019-07-16 16:14:30",0.05,0.053,"2019-07-16 12:29:50",0.049,"2019-07-16 20:57:05",0.01,0.011,"2019-07-16 15:19:45",0.009,"2019-07-16 06:13:00",32.51,48.92,"2019-07-16 13:49:45",27.16,"2019-07-16 05:53:45",10.56,11.99,"2019-07-16 00:04:35",11.17,"2019-07-16 23:59:20"
49,"2019-07-18 00:00:00",48,12.37,32.1,28.81,31.65,"2019-07-17 12:43:15",26.32,"2019-07-17 04:06:40",85.9,"2019-07-17 04:32:20",62.88,"2019-07-17 08:46:35",270.9,1317,"2019-07-17 12:28:45",23.4042,0,3.735,10.41,"2019-07-17 19:15:00",3.735,91.2,23.13,4.347,3.223,1017.293,1018.811,"2019-07-17 22:17:15",1015.63,"2019-07-17 03:27:45",0.05,0.052,"2019-07-17 13:12:30",0.049,"2019-07-17 00:01:05",0.01,0.011,"2019-07-17 16:30:00",0.008,"2019-07-17 08:20:25",31.57,44.6,"2019-07-17 13:45:40",25.8,"2019-07-17 04:20:55",10.55,15.63,"2019-07-17 08:35:55",11.14,"2019-07-17 03:05:35"
50,"2019-07-19 00:00:00",49,12.36,32.32,28.99,31.68,"2019-07-18 12:47:20",25.6,"2019-07-18 06:40:10",92.5,"2019-07-18 06:41:05",69.49,"2019-07-18 13:14:20",290.1,1180,"2019-07-18 11:28:05",25.06272,0.254,3.341,8.45,"2019-07-18 06:22:55",3.341,90.5,27.47,4.728,3.213,1017.262,1018.431,"2019-07-18 00:00:05",1015.906,"2019-07-18 16:27:10",0.05,0.053,"2019-07-18 13:10:25",0.048,"2019-07-18 02:35:50",0.009,0.011,"2019-07-18 14:30:20",0.008,"2019-07-18 06:28:30",31.7,44.8,"2019-07-18 13:31:45",26.38,"2019-07-18 06:46:15",10.16,15.24,"2019-07-18 07:23:50",14.46,"2019-07-18 23:53:40"
51,"2019-07-20 00:00:00",50,12.36,31.95,28.91,31.59,"2019-07-19 14:07:15",26.84,"2019-07-19 09:51:15",90.7,"2019-07-19 09:47:10",67.18,"2019-07-19 14:53:20",232.2,1097,"2019-07-19 12:13:30",20.06066,0,2.949,7.703,"2019-07-19 02:11:10",2.949,91.5,24.28,3.84,3.217,1017.018,1018.398,"2019-07-19 11:30:30",1015.816,"2019-07-19 16:31:00",0.05,0.052,"2019-07-19 12:49:50",0.048,"2019-07-19 03:59:40",0.009,0.01,"2019-07-19 17:28:15",0.008,"2019-07-19 05:28:45",30.88,42.29,"2019-07-19 14:04:05",26.82,"2019-07-19 06:10:40",10.58,14.6,"2019-07-19 10:16:30",14.02,"2019-07-19 23:54:30"
52,"2019-07-21 00:00:00",51,12.33,32.83,29.09,32.04,"2019-07-20 14:04:40",27.6,"2019-07-20 03:41:40",86.5,"2019-07-20 21:40:35",63.39,"2019-07-20 12:22:45",293.6,1110,"2019-07-20 10:57:05",25.36784,0,2.826,7.84,"2019-07-20 23:05:00",2.826,82.6,28.19,4.899,3.234,1015.947,1017.098,"2019-07-20 10:35:35",1014.623,"2019-07-20 15:49:50",0.049,0.052,"2019-07-20 12:27:50",0.048,"2019-07-20 20:03:25",0.009,0.011,"2019-07-20 14:32:50",0.008,"2019-07-20 07:23:05",32.91,48.18,"2019-07-20 13:37:35",26.94,"2019-07-20 04:08:25",10.51,14.04,"2019-07-20 00:18:05",13.18,"2019-07-20 23:52:35"
53,"2019-07-22 00:00:00",52,12.33,31.78,28.41,31.68,"2019-07-21 12:50:10",24.93,"2019-07-21 05:28:00",88.9,"2019-07-21 05:42:05",59.57,"2019-07-21 08:38:55",281.1,1336,"2019-07-21 11:50:45",24.28585,0.508,2.681,8.96,"2019-07-21 04:53:45",2.681,84.1,33.19,4.666,3.251,1015.688,1016.844,"2019-07-21 22:05:05",1014.625,"2019-07-21 04:15:20",0.049,0.052,"2019-07-21 13:06:00",0.048,"2019-07-21 00:25:15",0.009,0.011,"2019-07-21 13:06:20",0.008,"2019-07-21 07:32:35",31.22,44.59,"2019-07-21 14:00:50",25.94,"2019-07-21 06:11:30",10.55,13.31,"2019-07-21 10:08:30",12.65,"2019-07-21 23:43:40"
54,"2019-07-23 00:00:00",53,12.33,32.52,29.14,32.59,"2019-07-22 12:02:20",25.76,"2019-07-22 00:22:35",85.3,"2019-07-22 22:19:30",60.98,"2019-07-22 12:54:25",276.3,1349,"2019-07-22 12:08:35",23.8693,0,3.303,8.88,"2019-07-22 00:14:45",3.303,92.3,23.69,4.532,3.245,1016.206,1018.147,"2019-07-22 23:03:40",1014.743,"2019-07-22 16:16:10",0.049,0.052,"2019-07-22 12:51:10",0.048,"2019-07-22 20:36:10",0.009,0.011,"2019-07-22 15:49:40",0.008,"2019-07-22 07:45:00",32.43,47.71,"2019-07-22 13:47:50",25.94,"2019-07-22 06:01:45",10.52,12.72,"2019-07-22 00:23:10",11.81,"2019-07-22 23:41:40"
55,"2019-07-24 00:00:00",54,12.34,32.81,29.32,32.04,"2019-07-23 14:05:20",28.08,"2019-07-23 23:44:20",81.8,"2019-07-23 03:48:05",64.66,"2019-07-23 13:48:40",258.4,1230,"2019-07-23 11:53:35",22.32619,0,4.274,9.78,"2019-07-23 01:28:50",4.274,92.3,23.74,4.107,3.249,1017.227,1018.554,"2019-07-23 22:30:55",1016.02,"2019-07-23 04:52:55",0.048,0.051,"2019-07-23 13:39:35",0.047,"2019-07-23 20:35:05",0.009,0.01,"2019-07-23 14:57:45",0.008,"2019-07-23 09:02:20",32.7,45.09,"2019-07-23 13:48:05",27.7,"2019-07-23 05:55:45",10.5,11.89,"2019-07-23 05:27:10",10.94,"2019-07-23 23:11:20"
111,"2019-07-25 00:00:00",55,12.33,32.9,29.26,32.15,"2019-07-24 12:46:00",26.96,"2019-07-24 23:53:00",84.7,"2019-07-24 23:48:15",63.55,"2019-07-24 11:53:15",278.1,1239,"2019-07-24 12:03:30",24.02569,0,4.086,10.86,"2019-07-24 23:45:30",4.086,64.37,24.1,4.441,3.256,1017.069,1018.362,"2019-07-24 10:15:25",1014.974,"2019-07-24 18:47:35",0.048,0.051,"2019-07-24 12:54:35",0.046,"2019-07-24 22:36:15",0.009,0.011,"2019-07-24 14:29:05",0.008,"2019-07-24 04:44:05",33.13,49.09,"2019-07-24 13:25:55",27.36,"2019-07-24 05:34:45",10.52,11.03,"2019-07-24 02:33:00",10.04,"2019-07-24 23:36:10"
112,"2019-07-26 00:00:00",56,12.31,30.51,27.91,30.23,"2019-07-25 10:09:40",25.04,"2019-07-25 05:48:00",95.1,"2019-07-25 13:20:10",75.63,"2019-07-25 01:05:25",180.3,1397,"2019-07-25 13:44:15",15.58008,1.016,3.82,12.15,"2019-07-25 01:05:10",3.82,89.4,24.99,2.825,3.252,1016.582,1018.428,"2019-07-25 23:01:20",1014.516,"2019-07-25 03:05:40",0.059,0.074,"2019-07-25 16:33:30",0.046,"2019-07-25 00:02:00",0.022,0.042,"2019-07-25 16:34:30",0.008,"2019-07-25 04:57:30",27.99,34.06,"2019-07-25 12:11:45",25.16,"2019-07-25 06:11:30",10.44,23.61,"2019-07-25 09:48:00",10.03,"2019-07-25 01:05:15"
113,"2019-07-27 00:00:00",57,12.33,32.81,29.31,32.05,"2019-07-26 14:57:30",28.08,"2019-07-26 05:47:40",88,"2019-07-26 05:51:25",69.16,"2019-07-26 14:59:05",255.8,1151,"2019-07-26 11:51:50",22.085,0,3.596,10.76,"2019-07-26 11:56:25",3.596,80.5,29.35,4.149,3.251,1017.669,1019.065,"2019-07-26 22:28:10",1016.196,"2019-07-26 16:26:25",0.072,0.074,"2019-07-26 06:24:00",0.068,"2019-07-26 23:46:30",0.034,0.037,"2019-07-26 00:01:40",0.028,"2019-07-26 23:50:15",30.07,38.55,"2019-07-26 13:53:40",26.41,"2019-07-26 00:02:30",10.4,15.55,"2019-07-26 05:03:30",14.71,"2019-07-26 23:53:15"
114,"2019-07-28 00:00:00",58,12.27,32.85,29.17,31.67,"2019-07-27 11:49:50",27.38,"2019-07-27 17:21:55",90.7,"2019-07-27 17:27:05",65.21,"2019-07-27 14:24:10",262,1286,"2019-07-27 12:16:25",22.6362,0.508,3.448,10.35,"2019-07-27 11:38:25",3.448,58.82,26.63,4.265,3.259,1017.409,1018.822,"2019-07-27 09:34:20",1015.701,"2019-07-27 16:03:25",0.066,0.068,"2019-07-27 02:46:50",0.063,"2019-07-27 22:41:40",0.026,0.028,"2019-07-27 00:04:05",0.022,"2019-07-27 23:59:05",30.71,42.24,"2019-07-27 13:27:00",26.75,"2019-07-27 05:55:55",10.46,14.85,"2019-07-27 00:03:50",14.14,"2019-07-27 17:09:25"
115,"2019-07-29 00:00:00",59,12.27,31.22,28.05,31.09,"2019-07-28 10:37:45",24.04,"2019-07-28 19:22:55",95.7,"2019-07-28 19:26:05",65.59,"2019-07-28 10:38:55",179.4,1181,"2019-07-28 10:26:55",15.49799,1.016,3.532,10.88,"2019-07-28 18:59:30",3.532,75.4,31.91,2.858,3.279,1014.96,1016.869,"2019-07-28 00:00:25",1012.764,"2019-07-28 23:59:45",0.089,0.209,"2019-07-28 21:09:50",0.06,"2019-07-28 17:20:10",0.042,0.139,"2019-07-28 20:45:55",0.02,"2019-07-28 18:47:25",28.38,34.29,"2019-07-28 13:32:15",24.72,"2019-07-28 19:39:45",10.37,15.49,"2019-07-28 21:54:25",13.81,"2019-07-28 16:14:05"
116,"2019-07-30 00:00:00",60,12.25,30.74,27.99,31.38,"2019-07-29 13:43:00",26.01,"2019-07-29 07:56:05",94,"2019-07-29 10:41:10",72.37,"2019-07-29 14:23:15",191.4,971,"2019-07-29 12:41:20",16.53939,0,2.574,8.68,"2019-07-29 06:59:10",2.574,89.8,32.88,3.154,3.272,1013.504,1014.903,"2019-07-29 22:59:30",1012.296,"2019-07-29 15:47:45",0.188,0.2,"2019-07-29 00:00:05",0.178,"2019-07-29 23:27:45",0.112,0.124,"2019-07-29 00:00:35",0.104,"2019-07-29 23:56:25",28.29,35.93,"2019-07-29 13:45:50",25.23,"2019-07-29 00:03:25",10.28,15.7,"2019-07-29 11:08:20",15.38,"2019-07-29 23:57:15"
117,"2019-07-31 00:00:00",61,12.3,32.03,28.52,31.52,"2019-07-30 13:09:25",26.92,"2019-07-30 05:56:20",91,"2019-07-30 06:06:00",71.09,"2019-07-30 12:12:50",225,1364,"2019-07-30 12:15:20",19.43755,0,2.43,6.723,"2019-07-30 17:16:15",2.43,103.4,26.23,3.767,3.277,1014.714,1016.563,"2019-07-30 22:52:05",1013.178,"2019-07-30 03:47:05",0.158,0.178,"2019-07-30 00:00:05",0.139,"2019-07-30 23:47:30",0.091,0.105,"2019-07-30 00:11:25",0.075,"2019-07-30 23:47:10",29.33,40.17,"2019-07-30 13:09:45",26.2,"2019-07-30 06:04:05",10.38,15.41,"2019-07-30 02:08:30",14.87,"2019-07-30 23:33:45"
118,"2019-08-01 00:00:00",62,12.27,32.26,28.91,31.91,"2019-07-31 12:52:10",26.42,"2019-07-31 01:58:15",94.6,"2019-07-31 01:47:35",68.46,"2019-07-31 14:26:10",239.6,1068,"2019-07-31 12:07:05",20.7014,0.508,3.133,9,"2019-07-31 01:26:35",3.133,100.9,28.53,3.931,3.286,1015.378,1016.587,"2019-07-31 09:21:50",1013.767,"2019-07-31 16:19:50",0.131,0.14,"2019-07-31 05:32:40",0.119,"2019-07-31 22:16:15",0.071,0.077,"2019-07-31 00:01:50",0.061,"2019-07-31 23:32:05",29.48,38.47,"2019-07-31 13:39:45",26.37,"2019-07-31 02:28:25",10.29,15.11,"2019-07-31 09:06:50",14.45,"2019-07-31 23:52:45"
119,"2019-08-02 00:00:00",63,12.25,32.95,29.02,31.47,"2019-08-01 13:23:50",27.46,"2019-08-01 02:35:30",86.7,"2019-08-01 03:01:45",68.72,"2019-08-01 13:24:50",285.5,1262,"2019-08-01 12:46:25",24.66994,0,3.742,10.27,"2019-08-01 21:26:50",3.742,65.43,24.84,4.589,3.3,1014.647,1015.892,"2019-08-01 00:04:20",1012.987,"2019-08-01 17:25:25",0.109,0.12,"2019-08-01 00:02:30",0.098,"2019-08-01 23:25:20",0.055,0.062,"2019-08-01 00:03:00",0.048,"2019-08-01 23:58:30",30.14,39.97,"2019-08-01 13:47:50",26.29,"2019-08-01 06:01:40",10.37,14.5,"2019-08-01 05:40:15",13.57,"2019-08-01 23:30:15"
120,"2019-08-03 00:00:00",64,12.25,31.19,28,31.59,"2019-08-02 12:51:25",25.01,"2019-08-02 17:14:45",95.8,"2019-08-02 04:59:35",73.48,"2019-08-02 11:38:15",221.8,1265,"2019-08-02 14:02:15",19.16593,1.524,3.182,15.84,"2019-08-02 15:23:50",3.182,85.8,30.43,3.566,3.299,1014.582,1016.174,"2019-08-02 22:10:40",1012.875,"2019-08-02 03:53:55",0.182,0.253,"2019-08-02 14:46:10",0.098,"2019-08-02 02:45:30",0.12,0.199,"2019-08-02 14:35:35",0.047,"2019-08-02 04:26:50",28.6,39.66,"2019-08-02 13:20:30",25.77,"2019-08-02 04:49:05",10.43,15.71,"2019-08-02 15:56:10",13.57,"2019-08-02 00:47:00"
121,"2019-08-04 00:00:00",65,12.29,31.95,28.63,30.92,"2019-08-03 10:42:35",25.77,"2019-08-03 11:20:15",93.8,"2019-08-03 12:05:10",71.68,"2019-08-03 10:43:50",222.6,1395,"2019-08-03 11:30:15",19.23012,0,3.197,9.56,"2019-08-03 19:01:40",3.197,98.5,30.14,3.627,3.311,1016.253,1018.053,"2019-08-03 11:44:40",1014.624,"2019-08-03 02:09:15",0.215,0.232,"2019-08-03 00:03:25",0.198,"2019-08-03 23:13:30",0.137,0.153,"2019-08-03 01:28:35",0.123,"2019-08-03 23:55:00",28.51,35.64,"2019-08-03 13:11:25",25.87,"2019-08-03 06:20:50",10.3,15.67,"2019-08-03 06:33:45",15.06,"2019-08-03 23:54:15"
122,"2019-08-05 00:00:00",66,12.29,32.9,29.17,31.64,"2019-08-04 13:00:00",27.76,"2019-08-04 01:22:50",84.9,"2019-08-04 22:47:10",68.56,"2019-08-04 12:17:45",286.1,1267,"2019-08-04 12:22:55",24.72307,0,3.871,10.33,"2019-08-04 18:53:30",3.871,86.5,29.8,4.592,3.323,1016.338,1017.813,"2019-08-04 09:56:55",1014.643,"2019-08-04 17:10:10",0.176,0.198,"2019-08-04 00:00:05",0.154,"2019-08-04 23:27:00",0.109,0.125,"2019-08-04 00:01:35",0.091,"2019-08-04 23:53:25",29.49,39.5,"2019-08-04 13:39:35",25.48,"2019-08-04 05:59:05",10.45,15.12,"2019-08-04 00:49:20",14.23,"2019-08-04 23:10:50"
123,"2019-08-06 00:00:00",67,12.29,32.7,28.94,31.46,"2019-08-05 14:06:15",27.51,"2019-08-05 23:17:50",88,"2019-08-05 23:07:30",66.1,"2019-08-05 10:21:50",269.4,1216,"2019-08-05 11:48:15",23.2722,0,3.92,11.54,"2019-08-05 02:04:20",3.92,88.5,28.94,4.296,3.33,1016.062,1017.731,"2019-08-05 21:43:35",1014.522,"2019-08-05 16:00:05",0.138,0.155,"2019-08-05 00:36:50",0.122,"2019-08-05 22:13:10",0.08,0.092,"2019-08-05 00:01:10",0.067,"2019-08-05 23:53:20",29.87,40,"2019-08-05 13:45:55",26.17,"2019-08-05 04:56:25",10.35,14.38,"2019-08-05 02:04:25",13.39,"2019-08-05 23:59:50"
124,"2019-08-07 00:00:00",68,12.28,31.15,28.12,31.06,"2019-08-06 10:56:55",25.4,"2019-08-06 06:53:55",95.6,"2019-08-06 06:17:50",71.75,"2019-08-06 10:22:20",202.1,1463,"2019-08-06 13:15:20",17.45806,0,2.561,8.49,"2019-08-06 06:07:20",2.561,90.5,30.04,3.344,3.332,1016.424,1017.529,"2019-08-06 11:57:50",1015.198,"2019-08-06 17:13:10",0.138,0.147,"2019-08-06 12:58:20",0.121,"2019-08-06 04:51:55",0.086,0.099,"2019-08-06 15:46:00",0.065,"2019-08-06 04:53:00",28.55,36.06,"2019-08-06 13:16:50",25.73,"2019-08-06 06:56:40",10.14,14.1,"2019-08-06 11:59:30",13.34,"2019-08-06 04:55:40"
