"TOA5","La Guerite","CR300","13940","CR300-CELL200.Std.08.01","CPU:La Guerite.CR300","13677","Daily"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Max","AirTC_Max","AirTC_TMx","AirTC_Avg","AirTC_Min","AirTC_TMn","AirTC_Std","RH_Max","RH_TMx","RH_Min","RH_TMn","SlrkW_Max","SlrkW_TMx","SlrMJ_Tot","Rain_mm_Tot","VWC_Max","VWC_TMx","VWC_Avg","VWC_Min","VWC_TMn","EC_Max","EC_TMx","EC_Avg","EC_Min","EC_TMn","T_Max","T_TMx","T_Avg","T_Min","T_TMn"
"TS","RN","Volts","Deg C","Deg C","","Deg C","Deg C","","Deg C","%","","%","","kW/m^2","","MJ/m^2","mm","m^3/m^3","","m^3/m^3","m^3/m^3","","dS/m","","dS/m","dS/m","","Deg C","","Deg C","Deg C",""
"","","Min","Max","Max","TMx","Avg","Min","TMn","Std","Max","TMx","Min","TMn","Max","TMx","Tot","Tot","Max","TMx","Avg","Min","TMn","Max","TMx","Avg","Min","TMn","Max","TMx","Avg","Min","TMn"
"2020-02-09 00:00:00",10,12.64,41.83,29.8,"2020-02-08 13:41:40",25.93,22.25,"2020-02-08 22:51:00",1.983,95,"2020-02-08 21:17:30",53.99,"2020-02-08 13:00:50",1.151,"2020-02-08 11:23:30",19.06088,3.302,0.274,"2020-02-08 22:48:30",0.258,0.253,"2020-02-08 20:24:40",0.132,"2020-02-08 22:53:00",0.115,0.112,"2020-02-08 09:21:00",34.75,"2020-02-08 13:31:50",26.59,22.62,"2020-02-08 23:06:30"
"2020-02-10 00:00:00",11,12.64,41.7,30.11,"2020-02-09 11:12:10",25.34,22.58,"2020-02-09 15:43:10",1.765,96.2,"2020-02-09 15:47:50",60.97,"2020-02-09 11:13:00",1.2,"2020-02-09 11:26:00",16.3217,5.842,0.304,"2020-02-09 16:02:40",0.27,0.257,"2020-02-09 13:41:30",0.164,"2020-02-09 15:51:30",0.127,0.116,"2020-02-09 09:03:50",34.06,"2020-02-09 13:19:50",25.22,22.4,"2020-02-09 04:36:50"
"2020-02-11 00:00:00",12,12.64,42.7,29.81,"2020-02-10 13:55:30",26.11,22.07,"2020-02-10 02:12:50",1.966,95.1,"2020-02-10 02:19:10",59.29,"2020-02-10 13:34:00",1.115,"2020-02-10 12:28:10",19.3105,7.112,0.382,"2020-02-10 02:06:10",0.298,0.275,"2020-02-10 02:00:50",0.209,"2020-02-10 02:06:20",0.144,0.13,"2020-02-10 01:50:10",33.25,"2020-02-10 14:04:50",26,22.15,"2020-02-10 02:18:30"
"2020-02-12 00:00:00",13,12.66,41.44,29.38,"2020-02-11 13:58:20",26.34,24.63,"2020-02-11 06:54:20",1.503,79.41,"2020-02-11 23:12:20",59.03,"2020-02-11 11:31:20",1.117,"2020-02-11 11:45:10",17.82098,0,0.285,"2020-02-11 00:06:00",0.275,0.268,"2020-02-11 21:53:00",0.133,"2020-02-11 00:05:00",0.127,0.123,"2020-02-11 23:05:20",33.62,"2020-02-11 12:57:20",26.56,23.29,"2020-02-11 04:44:10"
"2020-02-13 00:00:00",14,12.66,42.59,29.54,"2020-02-12 11:32:40",26.13,24.11,"2020-02-12 21:12:00",1.584,85.7,"2020-02-12 21:11:20",61.26,"2020-02-12 15:04:00",1.17,"2020-02-12 11:46:10",19.86026,0.254,0.269,"2020-02-12 01:17:00",0.263,0.257,"2020-02-12 18:53:10",0.125,"2020-02-12 15:06:30",0.122,0.119,"2020-02-12 23:43:40",35.63,"2020-02-12 13:07:10",26.9,23.3,"2020-02-12 22:24:50"
"2020-02-14 00:00:00",15,12.67,43.14,29.82,"2020-02-13 13:15:10",26.26,24.04,"2020-02-13 05:58:00",1.706,87,"2020-02-13 23:07:20",57.72,"2020-02-13 11:06:40",1.175,"2020-02-13 12:00:00",20.70518,0.254,0.259,"2020-02-13 00:30:10",0.254,0.249,"2020-02-13 17:56:50",0.12,"2020-02-13 00:05:30",0.117,0.115,"2020-02-13 22:03:30",35.13,"2020-02-13 13:22:30",27.15,23.01,"2020-02-13 06:11:20"
"2020-02-15 00:00:00",16,12.66,42.11,29.53,"2020-02-14 13:07:10",25,20.36,"2020-02-14 23:46:00",2.267,97.4,"2020-02-14 23:22:20",61.25,"2020-02-14 13:58:10",1.152,"2020-02-14 11:50:30",18.24572,31.5,0.397,"2020-02-14 23:38:00",0.299,0.249,"2020-02-14 00:00:10",0.206,"2020-02-14 23:36:40",0.15,0.114,"2020-02-14 00:13:00",32.52,"2020-02-14 13:09:10",25.41,20.73,"2020-02-14 23:53:10"
"2020-02-16 00:00:00",17,12.64,41.72,29.13,"2020-02-15 12:41:20",24.62,19.68,"2020-02-15 00:28:20",2.538,98.7,"2020-02-15 00:33:30",69.28,"2020-02-15 12:42:20",1.248,"2020-02-15 12:27:50",18.31172,50.29,0.426,"2020-02-15 00:24:40",0.325,0.301,"2020-02-15 22:44:20",0.174,"2020-02-15 00:10:20",0.093,0.086,"2020-02-15 22:59:00",31.46,"2020-02-15 14:20:30",24.57,19.48,"2020-02-15 06:03:00"
"2020-02-17 00:00:00",18,12.65,41.55,29.14,"2020-02-16 13:51:50",25.3,22.19,"2020-02-16 04:31:10",1.513,97.8,"2020-02-16 06:21:50",63.87,"2020-02-16 13:57:30",1.373,"2020-02-16 13:09:00",16.26545,7.874,0.342,"2020-02-16 07:08:10",0.31,0.298,"2020-02-16 04:07:20",0.107,"2020-02-16 07:13:10",0.094,0.085,"2020-02-16 03:59:50",31.47,"2020-02-16 13:54:00",25.11,22.58,"2020-02-16 05:24:00"
"2020-02-18 00:00:00",19,12.66,35.66,27.4,"2020-02-17 15:38:40",24.68,22.61,"2020-02-17 07:29:30",0.94,97.2,"2020-02-17 11:10:20",72.87,"2020-02-17 15:38:50",1.355,"2020-02-17 13:03:10",13.15058,7.62,0.325,"2020-02-17 14:10:00",0.31,0.297,"2020-02-17 07:11:00",0.108,"2020-02-17 15:04:30",0.098,0.089,"2020-02-17 07:06:20",28.11,"2020-02-17 13:08:00",24.31,22.91,"2020-02-17 07:45:00"
